zip,primary_city,state,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
501,Holtsville,NY,America/New_York,631,NA,US,40.81,-73.04,562
544,Holtsville,NY,America/New_York,631,NA,US,40.81,-73.04,0
601,Adjuntas,PR,America/Puerto_Rico,"787, 939",NA,US,18.16,-66.72,0
602,Aguada,PR,America/Puerto_Rico,"787, 939",NA,US,18.38,-67.18,0
603,Aguadilla,PR,America/Puerto_Rico,"787, 939",NA,US,18.43,-67.15,0
604,Aguadilla,PR,America/Puerto_Rico,"787, 939",NA,US,18.43,-67.15,0
605,Aguadilla,PR,America/Puerto_Rico,"787, 939",NA,US,18.43,-67.15,0
606,Maricao,PR,America/Puerto_Rico,"787, 939",NA,US,18.18,-66.98,0
610,Anasco,PR,America/Puerto_Rico,"787, 939",NA,US,18.28,-67.14,0
611,Angeles,PR,America/Puerto_Rico,"787, 939",NA,US,18.28,-66.81,0
612,Arecibo,PR,America/Puerto_Rico,"787, 939",NA,US,18.45,-66.73,0
613,Arecibo,PR,America/Puerto_Rico,"787, 939",NA,US,18.45,-66.73,0
614,Arecibo,PR,America/Puerto_Rico,"787, 939",NA,US,18.45,-66.73,0
616,Bajadero,PR,America/Puerto_Rico,"787, 939",NA,US,18.42,-66.67,0
617,Barceloneta,PR,America/Puerto_Rico,"787, 939",NA,US,18.45,-66.56,0
622,Boqueron,PR,America/Puerto_Rico,"787, 939",NA,US,17.99,-67.15,0
623,Cabo Rojo,PR,America/Puerto_Rico,"787, 939",NA,US,18.08,-67.14,0
624,Penuelas,PR,America/Puerto_Rico,"787, 939",NA,US,18.06,-66.72,0
627,Camuy,PR,America/Puerto_Rico,"787, 939",NA,US,18.48,-66.84,0
631,Castaner,PR,America/Puerto_Rico,"787, 939",NA,US,18.19,-66.82,0
636,Rosario,PR,America/Puerto_Rico,"787, 939",NA,US,18.16,-67.08,0
637,Sabana Grande,PR,America/Puerto_Rico,"787, 939",NA,US,18.08,-66.96,0
638,Ciales,PR,America/Puerto_Rico,"787, 939",NA,US,18.33,-66.47,0
641,Utuado,PR,America/Puerto_Rico,"787, 939",NA,US,18.27,-66.7,0
646,Dorado,PR,America/Puerto_Rico,"787, 939",NA,US,18.47,-66.27,0
647,Ensenada,PR,America/Puerto_Rico,"787, 939",NA,US,17.96,-66.94,0
650,Florida,PR,America/Puerto_Rico,"787, 939",NA,US,18.36,-66.56,0
652,Garrochales,PR,America/Puerto_Rico,"787, 939",NA,US,18.45,-66.6,0
653,Guanica,PR,America/Puerto_Rico,"787, 939",NA,US,17.99,-66.89,0
656,Guayanilla,PR,America/Puerto_Rico,"787, 939",NA,US,18.02,-66.79,0
659,Hatillo,PR,America/Puerto_Rico,"787, 939",NA,US,18.48,-66.82,0
660,Hormigueros,PR,America/Puerto_Rico,"787, 939",NA,US,18.14,-67.12,0
662,Isabela,PR,America/Puerto_Rico,"787, 939",NA,US,18.5,-67.02,0
664,Jayuya,PR,America/Puerto_Rico,"787, 939",NA,US,18.22,-66.59,0
667,Lajas,PR,America/Puerto_Rico,"787, 939",NA,US,18.04,-67.06,0
669,Lares,PR,America/Puerto_Rico,"787, 939",NA,US,18.29,-66.88,0
